PredictionString,image_id
0 0.14521005749702454 481.9489440917969 589.6193237304688 548.4475708007812 660.6936645507812 1 0.9984520077705383 558.0321044921875 106.83612823486328 758.7235107421875 363.610107421875 1 0.4134814143180847 239.76907348632812 678.0384521484375 300.29840087890625 749.8158569335938 1 0.16418060660362244 465.7435302734375 581.7261962890625 560.3180541992188 677.4522705078125 1 0.13381250202655792 429.3486022949219 447.96197509765625 573.2770385742188 685.215087890625 1 0.11831596493721008 638.0339965820312 294.4865417480469 779.9948120117188 351.30084228515625 1 0.11500909924507141 639.65087890625 256.8626403808594 730.143798828125 347.19287109375 5 0.6151981949806213 240.0966796875 677.6993408203125 300.1181640625 750.1636352539062 5 0.43355023860931396 383.63140869140625 682.1398315429688 427.9269104003906 722.4988403320312 5 0.3182198107242584 337.2266845703125 626.8671875 455.0186462402344 736.6793823242188 5 0.261469304561615 339.35943603515625 678.0771484375 443.47821044921875 728.2921752929688 5 0.21394269168376923 466.5157470703125 579.48193359375 560.02197265625 678.2723999023438 5 0.18240664899349213 333.03900146484375 632.8709106445312 402.0861511230469 716.1239013671875 5 0.15773099660873413 392.1985778808594 614.4847412109375 447.13934326171875 722.834716796875 5 0.1406702995300293 416.0496520996094 618.200927734375 468.1387634277344 716.4080810546875 5 0.11061102896928787 405.385498046875 615.1422119140625 448.7625427246094 696.856201171875 5 0.1062738448381424 358.7794494628906 564.0199584960938 438.9521484375 620.4949340820312 5 0.10584172233939171 332.6593017578125 587.1973266601562 434.0123291015625 728.6904296875 6 0.1061181053519249 431.9715270996094 457.3818054199219 564.2471923828125 672.5390625 7 0.9999108910560608 218.62265014648438 47.84085464477539 460.2981262207031 479.9273376464844 7 0.9998641610145569 604.3602905273438 518.74365234375 953.0751342773438 1023.9629516601562 7 0.9998289346694946 117.1511459350586 423.7814636230469 332.7822265625 712.59912109375 7 0.9985582828521729 642.07568359375 327.8238830566406 877.0575561523438 621.636474609375 7 0.9985249042510986 391.55035400390625 193.09400939941406 601.3797607421875 547.575439453125 7 0.9970190525054932 450.8399658203125 588.1604614257812 647.2802124023438 874.7044067382812 7 0.9661241769790649 552.5751953125 337.8607177734375 714.3836059570312 607.6810913085938 7 0.8988617062568665 263.62353515625 439.3060607910156 424.278076171875 606.2098999023438 7 0.3208915591239929 535.5343627929688 179.13951110839844 578.423828125 255.80299377441406 7 0.26861023902893066 332.24713134765625 591.7493286132812 445.6380310058594 729.7290649414062 7 0.18219080567359924 323.9728698730469 571.4048461914062 391.4590759277344 619.864990234375 7 0.12378592789173126 333.36199951171875 631.3771362304688 410.91387939453125 724.9466552734375 ,test/0000.jpg
4 0.43479037284851074 344.146484375 246.9495086669922 757.5718994140625 698.0675659179688 5 0.8921650052070618 130.05235290527344 0.0 495.9883117675781 289.87872314453125 5 0.7677804231643677 344.058837890625 244.74356079101562 757.3992919921875 692.343505859375 6 0.7396094799041748 752.8949584960938 662.9529418945312 898.903076171875 993.1585693359375 7 0.1143108531832695 132.0310516357422 0.0815223753452301 502.9571228027344 287.9669189453125 ,test/0001.jpg
0 0.8411180973052979 877.940185546875 465.34478759765625 1020.7169189453125 628.9454345703125 0 0.5897365808486938 125.15912628173828 281.490478515625 432.24835205078125 405.9720764160156 0 0.3821498453617096 324.05548095703125 333.0134582519531 1009.1123046875 477.7613220214844 0 0.3060440421104431 86.37146759033203 279.62408447265625 414.79547119140625 523.9324340820312 0 0.2945799231529236 125.39736938476562 318.4880065917969 314.6759033203125 593.3589477539062 0 0.2911806106567383 251.90516662597656 283.87921142578125 311.9585876464844 423.049072265625 0 0.2836504280567169 362.0668029785156 324.17950439453125 1016.9287719726562 377.2406005859375 0 0.25728780031204224 656.8521728515625 288.3339538574219 724.6635131835938 322.5543212890625 0 0.1857595145702362 177.61859130859375 285.6903381347656 347.5713195800781 455.53863525390625 0 0.17647382616996765 262.1568908691406 339.2440490722656 1024.0 395.3594055175781 0 0.12358881533145905 772.8673095703125 398.04583740234375 1021.8611450195312 1023.288818359375 0 0.11369679123163223 676.4468383789062 231.27330017089844 767.0960083007812 322.64013671875 0 0.1085721030831337 133.88673400878906 294.83795166015625 245.89108276367188 495.17388916015625 0 0.10081686824560165 306.6742858886719 332.98046875 914.4955444335938 702.9271240234375 1 0.9990900754928589 291.8272399902344 311.2450866699219 1012.2886962890625 748.6884155273438 1 0.9943976402282715 772.6045532226562 412.9403381347656 1022.3688354492188 1024.0 1 0.9399307370185852 86.17854309082031 273.34735107421875 394.7679748535156 604.06640625 1 0.7671273946762085 665.6337890625 228.40182495117188 958.0081787109375 330.3723449707031 1 0.6631583571434021 421.9354248046875 267.8877868652344 642.345458984375 328.7603454589844 1 0.47881293296813965 993.7803955078125 302.33770751953125 1023.324951171875 402.7987976074219 1 0.4048099219799042 676.6500244140625 229.27999877929688 765.0499267578125 322.22821044921875 1 0.29951146245002747 957.8429565429688 235.36334228515625 1022.2225341796875 388.7083435058594 1 0.26472145318984985 99.19219970703125 364.6959533691406 328.7741394042969 600.78759765625 1 0.1789185255765915 2.3032023906707764 235.2421417236328 163.5308837890625 377.31243896484375 1 0.1781444251537323 965.676025390625 305.9979553222656 1018.3768310546875 380.52978515625 1 0.1643691509962082 999.668701171875 302.6374816894531 1023.9962768554688 335.0564880371094 1 0.15517395734786987 736.875244140625 229.82533264160156 1024.0 361.7242431640625 1 0.12395847588777542 979.3884887695312 326.19073486328125 1021.5816040039062 383.7316589355469 1 0.11255095899105072 968.5507202148438 229.67320251464844 1023.9661865234375 249.3170928955078 1 0.10456753522157669 859.2943115234375 244.97885131835938 1022.9027099609375 368.9573059082031 1 0.1039591059088707 996.6680297851562 236.21426391601562 1023.9614868164062 333.1606140136719 4 0.27805545926094055 865.0743408203125 255.9391632080078 912.7472534179688 325.092041015625 ,test/0002.jpg
9 0.8896685242652893 125.91790771484375 231.40029907226562 943.62109375 837.7484130859375 9 0.29520314931869507 17.75633430480957 10.225227355957031 1016.3578491210938 417.4472351074219 ,test/0003.jpg
0 0.36459070444107056 446.0211181640625 405.6687316894531 656.1927490234375 550.4238891601562 1 0.9892258644104004 197.02587890625 257.9983825683594 864.5486450195312 771.0466918945312 1 0.19895294308662415 420.30255126953125 389.8205261230469 661.7459716796875 569.9098510742188 5 0.33521944284439087 454.5262145996094 404.577392578125 657.553466796875 542.5227661132812 7 0.2750610113143921 441.6947326660156 405.072021484375 660.4267578125 550.2556762695312 ,test/0004.jpg
2 0.9996780157089233 351.9524230957031 228.48182678222656 770.4661865234375 712.6369018554688 ,test/0005.jpg
0 0.9138894081115723 896.8579711914062 786.3417358398438 1024.0 918.259765625 0 0.7527786493301392 601.3057861328125 0.3967064619064331 701.2794799804688 85.32542419433594 0 0.38853177428245544 0.13711754977703094 809.0371704101562 90.94339752197266 941.2947998046875 0 0.24324235320091248 197.2644805908203 546.72705078125 278.4718933105469 705.0283813476562 0 0.10821555554866791 189.94607543945312 598.8284301757812 302.1380920410156 873.258544921875 3 0.16951896250247955 0.9768041968345642 63.58527374267578 68.48877716064453 219.80941772460938 4 0.9783446788787842 416.7554626464844 12.797883987426758 657.6880493164062 279.0335998535156 4 0.22632160782814026 358.23126220703125 454.9464111328125 838.095458984375 721.9121704101562 5 0.900442361831665 359.9143981933594 454.4039001464844 838.5704345703125 719.8443603515625 5 0.2794186472892761 70.95757293701172 369.265380859375 223.393798828125 749.5521240234375 5 0.11412689089775085 1.4495371580123901 63.59653091430664 67.93476867675781 219.05172729492188 7 0.9513946175575256 273.1414794921875 10.605186462402344 410.3743896484375 175.27735900878906 7 0.20558437705039978 2.047834634780884 62.54829025268555 67.39889526367188 219.93063354492188 ,test/0006.jpg
0 0.6452922224998474 66.37859344482422 38.18460464477539 999.380126953125 969.0800170898438 0 0.3946152925491333 634.154052734375 69.60282135009766 1002.728515625 589.0137329101562 0 0.3235678970813751 309.7980651855469 55.6938591003418 913.3565673828125 758.6387329101562 0 0.31212419271469116 5.045633316040039 505.7407531738281 422.7383117675781 1021.0488891601562 0 0.20074599981307983 1.66424560546875 608.7625732421875 668.3294677734375 1024.0 0 0.10989782959222794 241.83294677734375 454.72735595703125 977.0016479492188 1022.07373046875 1 0.9006774425506592 881.6856689453125 892.8768920898438 1016.6323852539062 1022.4720458984375 1 0.6133900880813599 125.37337493896484 85.7829818725586 930.2149658203125 907.218505859375 1 0.43451187014579773 327.4543762207031 886.3649291992188 611.6002197265625 1023.85595703125 5 0.112970270216465 0.06929071247577667 853.6469116210938 25.984210968017578 1020.633544921875 9 0.6076107621192932 240.57244873046875 83.3551025390625 904.394287109375 770.283203125 9 0.48662519454956055 648.4583129882812 100.28518676757812 998.9131469726562 570.261962890625 9 0.38020387291908264 507.6970520019531 476.4276123046875 903.568115234375 740.3397827148438 ,test/0007.jpg
0 0.5539374351501465 106.97928619384766 905.9278564453125 170.22137451171875 972.1312255859375 1 0.882640540599823 647.0294189453125 636.2459106445312 719.5218505859375 761.9102783203125 1 0.5923682451248169 107.51689910888672 906.2576293945312 170.97926330566406 971.868408203125 1 0.1514119952917099 361.21295166015625 499.8636169433594 463.90557861328125 610.4661865234375 1 0.14773094654083252 151.01416015625 559.6987915039062 218.3354949951172 664.3164672851562 6 0.9953698515892029 770.5406494140625 282.2309265136719 973.8092041015625 615.3259887695312 7 0.9999123811721802 159.63665771484375 522.5244750976562 467.43939208984375 963.050537109375 7 0.9997674822807312 400.9180908203125 462.2241516113281 685.3881225585938 873.2162475585938 7 0.9996885657310486 4.894073486328125 615.9237670898438 180.45068359375 879.3403930664062 7 0.9043700695037842 0.5874219536781311 362.53692626953125 275.9111328125 643.5424194335938 7 0.8770275712013245 357.2618103027344 497.9592590332031 466.3040466308594 691.8262329101562 7 0.8593950867652893 524.7022094726562 427.3138732910156 749.6631469726562 630.6054077148438 7 0.7906931638717651 672.1886596679688 513.6097412109375 791.9473876953125 698.160400390625 7 0.6007093191146851 207.67945861816406 491.97119140625 326.03497314453125 562.4653930664062 7 0.2983821928501129 0.3609687387943268 531.711669921875 41.993228912353516 691.46630859375 7 0.18863722681999207 630.8875122070312 443.322509765625 808.2699584960938 698.86572265625 7 0.12691940367221832 495.38336181640625 426.7660827636719 795.5458374023438 699.0883178710938 7 0.10815788805484772 135.4615936279297 492.28564453125 325.52618408203125 665.4525756835938 ,test/0008.jpg
0 0.9999158382415771 293.91571044921875 112.66236877441406 663.9735717773438 980.8928833007812 ,test/0009.jpg
