,PredictionString,image_id
0,7.0 0.9999108910560608 218.62265014648438 47.84085464477539 460.2981262207031 479.9273376464844 7.0 0.9998641610145569 604.3602905273438 518.74365234375 953.0751342773438 1023.9629516601562 7.0 0.9998289346694946 117.1511459350586 423.7814636230469 332.7822265625 712.59912109375 7.0 0.9985582828521729 642.07568359375 327.8238830566406 877.0575561523438 621.636474609375 7.0 0.9985249042510986 391.55035400390625 193.09400939941406 601.3797607421875 547.575439453125 1.0 0.9984520077705383 558.0321044921875 106.83612823486328 758.7235107421875 363.610107421875 7.0 0.9970190525054932 450.8399658203125 588.1604614257812 647.2802124023438 874.7044067382812 7.0 0.9661241769790649 552.5751953125 337.8607177734375 714.3836059570312 607.6810913085938 7.0 0.8988617062568665 263.62353515625 439.3060607910156 424.278076171875 606.2098999023438 5.0 0.6151981949806213 240.0966796875 677.6993408203125 300.1181640625 750.1636352539062 5.0 0.43355023860931396 383.63140869140625 682.1398315429688 427.9269104003906 722.4988403320312 1.0 0.4134814143180847 239.76907348632812 678.0384521484375 300.29840087890625 749.8158569335938 7.0 0.3208915591239929 535.5343627929688 179.13951110839844 578.423828125 255.80299377441406 5.0 0.21394269168376923 466.5157470703125 579.48193359375 560.02197265625 678.2723999023438 5.0 0.20513369143009186 345.0080871582031 634.99169921875 439.28369140625 727.93212890625 7.0 0.19619807600975037 332.59881591796875 604.2504272460938 434.6838684082031 728.2203979492188 7.0 0.18219080567359924 323.9728698730469 571.4048461914062 391.4590759277344 619.864990234375 1.0 0.16418060660362244 465.7435302734375 581.7261962890625 560.3180541992188 677.4522705078125 0.0 0.14521005749702454 481.9489440917969 589.6193237304688 548.4475708007812 660.6936645507812 1.0 0.13381250202655792 429.3486022949219 447.96197509765625 573.2770385742188 685.215087890625 5.0 0.1256406605243683 411.3554382324219 616.8545532226562 459.6095886230469 707.8015747070312 1.0 0.11666253209114075 638.8309936523438 275.94122314453125 755.4225463867188 349.2759704589844 5.0 0.1062738448381424 358.7794494628906 564.0199584960938 438.9521484375 620.4949340820312 6.0 0.1061181053519249 431.9715270996094 457.3818054199219 564.2471923828125 672.5390625 ,test/0000.jpg
1,5.0 0.8921650052070618 130.05235290527344 0.0 495.9883117675781 289.87872314453125 5.0 0.7677804231643677 344.058837890625 244.74356079101562 757.3992919921875 692.343505859375 6.0 0.7396094799041748 752.8949584960938 662.9529418945312 898.903076171875 993.1585693359375 4.0 0.43479037284851074 344.146484375 246.9495086669922 757.5718994140625 698.0675659179688 7.0 0.1143108531832695 132.0310516357422 0.0815223753452301 502.9571228027344 287.9669189453125 ,test/0001.jpg
2,1.0 0.9990900754928589 291.8272399902344 311.2450866699219 1012.2886962890625 748.6884155273438 1.0 0.9943976402282715 772.6045532226562 412.9403381347656 1022.3688354492188 1024.0 0.0 0.8411180973052979 877.940185546875 465.34478759765625 1020.7169189453125 628.9454345703125 1.0 0.6631583571434021 421.9354248046875 267.8877868652344 642.345458984375 328.7603454589844 1.0 0.6023260951042175 89.03828430175781 293.421142578125 380.2658996582031 603.3458862304688 1.0 0.4611506760120392 677.6199340820312 228.64132690429688 969.111083984375 335.647216796875 1.0 0.4048099219799042 676.6500244140625 229.27999877929688 765.0499267578125 322.22821044921875 1.0 0.30138570070266724 990.8207397460938 307.2430419921875 1022.9664916992188 398.877685546875 0.0 0.296938419342041 124.4127426147461 289.947998046875 381.1006164550781 480.1919860839844 0.0 0.2911806106567383 251.90516662597656 283.87921142578125 311.9585876464844 423.049072265625 4.0 0.27805545926094055 865.0743408203125 255.9391632080078 912.7472534179688 325.092041015625 0.0 0.25728780031204224 656.8521728515625 288.3339538574219 724.6635131835938 322.5543212890625 0.0 0.24148336052894592 320.42724609375 333.0065612792969 989.3615112304688 524.7635498046875 0.0 0.23006212711334229 323.7478332519531 329.957275390625 1019.6408081054688 384.1897888183594 1.0 0.19407448172569275 942.5403442382812 258.7025451660156 1021.16796875 382.6586608886719 1.0 0.1789185255765915 2.3032023906707764 235.2421417236328 163.5308837890625 377.31243896484375 1.0 0.1643691509962082 999.668701171875 302.6374816894531 1023.9962768554688 335.0564880371094 0.0 0.12358881533145905 772.8673095703125 398.04583740234375 1021.8611450195312 1023.288818359375 0.0 0.11369679123163223 676.4468383789062 231.27330017089844 767.0960083007812 322.64013671875 1.0 0.11255095899105072 968.5507202148438 229.67320251464844 1023.9661865234375 249.3170928955078 1.0 0.1039591059088707 996.6680297851562 236.21426391601562 1023.9614868164062 333.1606140136719 ,test/0002.jpg
3,9.0 0.8896685242652893 125.91790771484375 231.40029907226562 943.62109375 837.7484130859375 9.0 0.29520314931869507 17.75633430480957 10.225227355957031 1016.3578491210938 417.4472351074219 ,test/0003.jpg
4,1.0 0.9892258644104004 197.02587890625 257.9983825683594 864.5486450195312 771.0466918945312 0.0 0.36459070444107056 446.0211181640625 405.6687316894531 656.1927490234375 550.4238891601562 5.0 0.33521944284439087 454.5262145996094 404.577392578125 657.553466796875 542.5227661132812 7.0 0.2750610113143921 441.6947326660156 405.072021484375 660.4267578125 550.2556762695312 1.0 0.19895294308662415 420.30255126953125 389.8205261230469 661.7459716796875 569.9098510742188 ,test/0004.jpg
5,2.0 0.9996780157089233 351.9524230957031 228.48182678222656 770.4661865234375 712.6369018554688 ,test/0005.jpg
6,4.0 0.9783446788787842 416.7554626464844 12.797883987426758 657.6880493164062 279.0335998535156 7.0 0.9513946175575256 273.1414794921875 10.605186462402344 410.3743896484375 175.27735900878906 0.0 0.9138894081115723 896.8579711914062 786.3417358398438 1024.0 918.259765625 5.0 0.900442361831665 359.9143981933594 454.4039001464844 838.5704345703125 719.8443603515625 0.0 0.7527786493301392 601.3057861328125 0.3967064619064331 701.2794799804688 85.32542419433594 0.0 0.38853177428245544 0.13711754977703094 809.0371704101562 90.94339752197266 941.2947998046875 5.0 0.2794186472892761 70.95757293701172 369.265380859375 223.393798828125 749.5521240234375 0.0 0.24324235320091248 197.2644805908203 546.72705078125 278.4718933105469 705.0283813476562 4.0 0.22632160782814026 358.23126220703125 454.9464111328125 838.095458984375 721.9121704101562 7.0 0.20558437705039978 2.047834634780884 62.54829025268555 67.39889526367188 219.93063354492188 3.0 0.16951896250247955 0.9768041968345642 63.58527374267578 68.48877716064453 219.80941772460938 5.0 0.11412689089775085 1.4495371580123901 63.59653091430664 67.93476867675781 219.05172729492188 0.0 0.10821555554866791 189.94607543945312 598.8284301757812 302.1380920410156 873.258544921875 ,test/0006.jpg
7,1.0 0.9006774425506592 881.6856689453125 892.8768920898438 1016.6323852539062 1022.4720458984375 1.0 0.6133900880813599 125.37337493896484 85.7829818725586 930.2149658203125 907.218505859375 9.0 0.6076107621192932 240.57244873046875 83.3551025390625 904.394287109375 770.283203125 9.0 0.48662519454956055 648.4583129882812 100.28518676757812 998.9131469726562 570.261962890625 1.0 0.43451187014579773 327.4543762207031 886.3649291992188 611.6002197265625 1023.85595703125 0.0 0.3946152925491333 634.154052734375 69.60282135009766 1002.728515625 589.0137329101562 9.0 0.38020387291908264 507.6970520019531 476.4276123046875 903.568115234375 740.3397827148438 0.0 0.3595859706401825 157.26531982421875 85.8714599609375 971.2979125976562 911.3578491210938 0.0 0.2564350962638855 3.7221014499664307 546.0652465820312 518.8668212890625 1022.2039184570312 5.0 0.112970270216465 0.06929071247577667 853.6469116210938 25.984210968017578 1020.633544921875 ,test/0007.jpg
8,7.0 0.9999123811721802 159.63665771484375 522.5244750976562 467.43939208984375 963.050537109375 7.0 0.9997674822807312 400.9180908203125 462.2241516113281 685.3881225585938 873.2162475585938 7.0 0.9996885657310486 4.894073486328125 615.9237670898438 180.45068359375 879.3403930664062 6.0 0.9953698515892029 770.5406494140625 282.2309265136719 973.8092041015625 615.3259887695312 7.0 0.9043700695037842 0.5874219536781311 362.53692626953125 275.9111328125 643.5424194335938 1.0 0.882640540599823 647.0294189453125 636.2459106445312 719.5218505859375 761.9102783203125 7.0 0.8770275712013245 357.2618103027344 497.9592590332031 466.3040466308594 691.8262329101562 7.0 0.6007093191146851 207.67945861816406 491.97119140625 326.03497314453125 562.4653930664062 1.0 0.5923682451248169 107.51689910888672 906.2576293945312 170.97926330566406 971.868408203125 0.0 0.5539374351501465 106.97928619384766 905.9278564453125 170.22137451171875 972.1312255859375 7.0 0.4931572377681732 520.9295043945312 427.2433776855469 755.5673828125 639.4178466796875 7.0 0.4896652102470398 664.2332763671875 500.07110595703125 795.0913696289062 698.2962036132812 7.0 0.2983821928501129 0.3609687387943268 531.711669921875 41.993228912353516 691.46630859375 1.0 0.1514119952917099 361.21295166015625 499.8636169433594 463.90557861328125 610.4661865234375 1.0 0.14773094654083252 151.01416015625 559.6987915039062 218.3354949951172 664.3164672851562 7.0 0.10815788805484772 135.4615936279297 492.28564453125 325.52618408203125 665.4525756835938 ,test/0008.jpg
9,0.0 0.9999158382415771 293.91571044921875 112.66236877441406 663.9735717773438 980.8928833007812 ,test/0009.jpg
