PredictionString,image_id
0 0.10326818376779556 338.2208557128906 683.0322265625 387.6883850097656 731.2315673828125 1 0.9998832941055298 560.1778564453125 106.73402404785156 756.9110107421875 365.3206787109375 5 0.9931482672691345 241.62742614746094 678.5553588867188 299.71636962890625 749.2164916992188 5 0.6797757148742676 387.0440368652344 682.8069458007812 424.8741760253906 721.7490844726562 5 0.5654828548431396 334.9266052246094 628.2723999023438 400.1401672363281 724.0036010742188 5 0.25637486577033997 413.82977294921875 613.5970458984375 449.53131103515625 690.474853515625 5 0.24009953439235687 381.3720397949219 678.3840942382812 457.3585510253906 727.2090454101562 5 0.19826264679431915 390.6146545410156 604.8770751953125 465.9242248535156 723.2044677734375 5 0.18547818064689636 464.1116943359375 578.4215087890625 561.5123291015625 670.50439453125 5 0.15547670423984528 351.4358825683594 681.5152587890625 429.4671936035156 723.2996826171875 5 0.15227250754833221 396.39556884765625 626.212646484375 443.58111572265625 692.0089111328125 5 0.11766918748617172 379.2937927246094 567.3018798828125 437.7495422363281 609.826904296875 5 0.10498975962400436 389.7698059082031 647.9949340820312 425.4581604003906 721.4376831054688 7 0.9999666213989258 606.3154296875 516.5814819335938 952.7607421875 1024.0 7 0.9998856782913208 215.04782104492188 44.84234619140625 458.4253234863281 471.38018798828125 7 0.9998798370361328 119.32341766357422 426.62628173828125 329.3441467285156 718.3944702148438 7 0.9995410442352295 394.6355895996094 188.42555236816406 601.3173828125 557.0363159179688 7 0.99949049949646 448.0430603027344 591.2015991210938 651.8726196289062 872.9308471679688 7 0.9986773133277893 631.5874633789062 324.02947998046875 882.1464233398438 621.9306640625 7 0.9904528856277466 273.84503173828125 447.4230651855469 422.97821044921875 619.9271850585938 7 0.9430703520774841 550.9638671875 344.2486572265625 716.3922119140625 609.0712280273438 7 0.22459261119365692 157.14125061035156 424.31494140625 201.7333526611328 458.22802734375 7 0.1449083834886551 530.6982421875 179.23336791992188 577.517822265625 276.5932312011719 7 0.12863795459270477 530.7066040039062 183.88839721679688 573.0961303710938 235.5869140625 7 0.12788082659244537 236.9741973876953 405.2048645019531 338.4528503417969 454.4652404785156 7 0.10587302595376968 335.4956359863281 618.9616088867188 410.9639587402344 724.7638549804688 ,test/0000.jpg
0 0.3277008533477783 755.8726806640625 657.08447265625 897.082275390625 989.4627685546875 0 0.17929644882678986 643.82666015625 644.0521240234375 686.7852783203125 836.21337890625 3 0.3979075849056244 343.22210693359375 246.1659698486328 752.5325317382812 693.0473022460938 4 0.4204329550266266 338.45501708984375 244.35585021972656 755.9395141601562 692.8985595703125 5 0.7133474349975586 341.7848205566406 239.09825134277344 753.005615234375 697.2008666992188 5 0.2998301386833191 130.28468322753906 0.0 500.3798828125 293.9888916015625 6 0.8227710127830505 755.6104736328125 657.04296875 897.185546875 988.120849609375 7 0.4723450541496277 126.84182739257812 0.0 498.3291320800781 298.05706787109375 ,test/0001.jpg
0 0.9406300187110901 873.3051147460938 468.2814636230469 1022.1729125976562 633.6683349609375 0 0.8133207559585571 93.10662841796875 280.82684326171875 417.5061340332031 521.1766967773438 0 0.6895383596420288 145.70677185058594 279.3963928222656 420.835693359375 406.1399230957031 0 0.39934879541397095 780.594482421875 423.9913635253906 1015.3314208984375 1020.6295166015625 0 0.21020907163619995 310.5556335449219 325.37786865234375 1020.8974609375 727.4061889648438 0 0.20231129229068756 101.4489517211914 324.99267578125 329.5107421875 597.69482421875 0 0.19291992485523224 439.0098876953125 511.2250671386719 806.14892578125 662.360595703125 0 0.1729142665863037 372.67242431640625 382.5396728515625 825.8745727539062 692.3740234375 0 0.13731619715690613 665.7258911132812 284.9840393066406 717.0680541992188 324.2378845214844 0 0.1191149652004242 765.806396484375 198.7075958251953 1008.4630126953125 665.4098510742188 0 0.10837571322917938 330.0832214355469 324.18182373046875 1022.908203125 396.7962646484375 1 0.9989467263221741 272.7228698730469 296.9031677246094 1024.0 745.4552001953125 1 0.9718634486198425 777.3211669921875 419.28082275390625 1020.4710693359375 1024.0 1 0.9180677533149719 670.289306640625 228.05258178710938 929.6849365234375 324.5652160644531 1 0.892939567565918 416.9152526855469 268.422607421875 643.8390502929688 330.0867919921875 1 0.7008525729179382 84.61720275878906 276.43231201171875 413.671630859375 605.4862060546875 1 0.2387939840555191 987.190185546875 229.48541259765625 1023.987548828125 308.3323974609375 1 0.1975284367799759 101.69268798828125 367.22021484375 323.7943115234375 602.1520385742188 1 0.17767395079135895 990.0194702148438 302.79595947265625 1023.7394409179688 394.55291748046875 1 0.16454041004180908 670.2676391601562 226.934326171875 1014.9920043945312 381.13555908203125 1 0.12955769896507263 998.1412353515625 304.5032958984375 1024.0 336.40960693359375 1 0.12847118079662323 960.4512329101562 231.5090789794922 1024.0 394.1370849609375 4 0.27148333191871643 863.3909301757812 254.05245971679688 915.3206176757812 326.7810974121094 ,test/0002.jpg
9 0.9993877410888672 140.34060668945312 261.935302734375 918.0809326171875 815.891845703125 9 0.5511078238487244 21.055084228515625 43.250091552734375 978.3953857421875 962.260009765625 ,test/0003.jpg
0 0.5950648784637451 427.3195495605469 404.1280822753906 657.2446899414062 565.420166015625 1 0.9998736381530762 194.05108642578125 254.50790405273438 869.4763793945312 780.1107177734375 1 0.1825423389673233 401.748291015625 357.2769470214844 657.3924560546875 578.3637084960938 5 0.2609448730945587 448.1358947753906 403.7474670410156 653.037109375 550.445556640625 7 0.19134105741977692 446.23651123046875 404.88616943359375 656.8585815429688 551.4051513671875 9 0.13116823136806488 436.3780822753906 403.0995178222656 656.7473754882812 553.6636962890625 ,test/0004.jpg
2 0.9999239444732666 344.5518798828125 230.9492950439453 767.2100830078125 710.7035522460938 ,test/0005.jpg
0 0.6046945452690125 1.1893692016601562 808.8004150390625 94.05036163330078 943.2491455078125 0 0.5478283762931824 600.4947509765625 0.0 703.905029296875 86.35185241699219 0 0.35465991497039795 894.8170776367188 785.1546020507812 1023.9104614257812 920.0631713867188 3 0.46591466665267944 0.6068611145019531 67.00873565673828 65.71392822265625 219.05850219726562 4 0.9990278482437134 417.53057861328125 20.34429931640625 674.8239135742188 270.3294372558594 4 0.5686296224594116 357.3787841796875 454.8616027832031 840.231689453125 718.9071044921875 5 0.8091698288917542 1.5263404846191406 66.0902328491211 66.7154541015625 219.65353393554688 5 0.7548339366912842 362.81341552734375 453.15777587890625 836.8215942382812 718.7706909179688 5 0.3745335042476654 56.694000244140625 340.95526123046875 224.82199096679688 764.4804077148438 7 0.9911190867424011 277.5421142578125 11.852272033691406 409.095458984375 174.65869140625 ,test/0006.jpg
0 0.9744397401809692 90.66726684570312 30.909088134765625 1005.71630859375 951.08154296875 0 0.28011900186538696 0.74114990234375 269.5832214355469 375.64007568359375 1024.0 0 0.19846223294734955 246.02926635742188 1.142425537109375 1024.0 274.2850646972656 0 0.15592481195926666 315.8917541503906 17.498748779296875 963.044677734375 643.4656982421875 1 0.9949733018875122 880.7771606445312 892.532470703125 1018.5393676757812 1020.55517578125 1 0.9622992277145386 348.1315002441406 890.16357421875 610.0137939453125 1024.0 1 0.7454291582107544 119.64202880859375 109.60720825195312 953.5210571289062 881.3309326171875 9 0.8729669451713562 203.64910888671875 109.76840209960938 925.2991333007812 757.17724609375 9 0.27231770753860474 606.8865356445312 125.93905639648438 999.7136840820312 574.4859619140625 9 0.13351765275001526 292.3939208984375 515.74609375 441.79766845703125 674.6864013671875 ,test/0007.jpg
0 0.8271384835243225 107.17789459228516 906.6583862304688 169.2593231201172 971.8734741210938 1 0.7246561646461487 650.5082397460938 648.9282836914062 719.7979125976562 760.7676391601562 2 0.14195682108402252 106.39152526855469 907.2760009765625 168.97975158691406 970.8663330078125 6 0.9897719025611877 772.3054809570312 280.73675537109375 973.8080444335938 611.6116943359375 7 0.9999692440032959 159.34291076660156 521.06640625 461.788330078125 963.5491943359375 7 0.9998224377632141 405.34466552734375 467.10369873046875 691.8556518554688 875.7384643554688 7 0.9995821118354797 3.1294479370117188 615.1176147460938 181.56765747070312 879.2733764648438 7 0.998013973236084 0.402740478515625 363.0638122558594 272.9875793457031 635.1005859375 7 0.9976235032081604 671.8548583984375 512.4609375 790.4505615234375 699.8193359375 7 0.9950616955757141 541.763427734375 426.4659729003906 722.507080078125 616.4715576171875 7 0.9863247275352478 357.8424987792969 496.35845947265625 467.3735656738281 706.1475219726562 7 0.9218648672103882 225.7600555419922 490.3683166503906 321.67803955078125 556.4828491210938 7 0.9110889434814453 0.08064842224121094 537.784912109375 46.57115173339844 696.4727783203125 7 0.1864832490682602 345.746826171875 123.4664306640625 415.509033203125 224.66647338867188 ,test/0008.jpg
0 0.9995536208152771 284.6590576171875 115.5350341796875 666.8794555664062 979.9481201171875 ,test/0009.jpg
