PredictionString,image_id
0 0.33628953 245.24132 682.71497 301.57697 750.2174 1 0.96229994 567.5821 111.1244 752.4765 353.40503 1 0.46056208 620.31573 170.76671 744.5218 339.07452 1 0.23666395 641.4501 257.5208 732.29663 340.33362 1 0.156408 497.21756 116.30875 602.461 228.54678 1 0.13886654 245.24132 682.71497 301.57697 750.2174 1 0.101715304 649.3346 185.04362 698.03674 249.27434 2 0.115965396 641.4501 257.5208 732.29663 340.33362 5 0.25771353 334.14127 612.93243 453.4706 732.14374 5 0.25163022 245.23636 682.6813 301.4772 750.1499 5 0.22875449 335.6485 631.0216 393.58215 722.9995 5 0.10902087 414.8413 606.02704 453.87836 694.4161 5 0.10475823 392.89755 628.66406 443.303 719.0138 6 0.19065589 421.46213 455.6567 563.4867 655.76 7 0.99992096 605.815 522.6627 950.1036 1024.0 7 0.99976045 220.80212 54.04753 458.68066 477.914 7 0.9961869 126.16383 422.523 324.4295 709.998 7 0.99529546 392.57547 188.51776 600.3986 537.9884 7 0.98730266 451.29074 594.366 650.1654 874.06 7 0.97392863 640.8488 313.88727 877.3747 625.05383 7 0.96691966 566.0303 346.7641 707.5676 610.72375 7 0.9498887 266.42944 436.9274 428.1239 614.0106 7 0.21721292 330.2296 533.82227 455.5608 737.0868 7 0.14587148 245.25783 682.3331 301.32614 750.3926 7 0.12097289 208.83104 431.3343 336.30823 686.1707 ,test/0000.jpg
0 0.59650606 750.23755 661.01904 902.2158 992.4164 0 0.35496137 635.93225 647.7147 685.6957 832.68604 3 0.3216683 350.39728 255.9643 753.39716 694.9364 4 0.60047454 346.60492 245.67865 751.7181 700.135 5 0.5134796 129.1835 0.0 498.07413 282.19513 5 0.5107683 348.40494 240.49458 754.1456 696.15704 6 0.5364684 757.162 660.5698 898.1649 985.0426 7 0.6359076 128.38315 0.0 498.14938 287.43546 ,test/0001.jpg
0 0.84096926 876.404 463.9082 1024.0 630.91064 0 0.82853395 92.27565 283.53998 350.73004 601.8593 0 0.67206895 95.4176 281.22565 432.69507 403.8659 0 0.35011527 106.17804 328.3718 391.89713 413.1107 0 0.3238464 659.70715 291.50452 751.47864 322.9947 0 0.29321876 292.61996 358.8665 1024.0 612.14233 0 0.27043897 0.0 234.87677 149.04974 468.55054 0 0.2092204 139.42357 318.99127 343.2035 509.51788 0 0.19632374 315.48944 334.51306 1009.01154 488.88428 0 0.18190797 878.66205 242.95103 914.8951 274.16495 0 0.16763599 786.00543 414.60092 1024.0 975.3237 0 0.1599682 670.79443 230.74097 763.5835 320.94507 0 0.1385116 820.204 786.96027 877.57434 918.6381 0 0.12746055 872.0586 240.16093 913.63245 321.966 0 0.1248943 831.8093 362.54913 1018.65 636.83124 0 0.12200085 146.75511 277.19055 429.30005 348.58508 0 0.11471039 664.25616 282.465 717.1567 320.07986 0 0.11263517 111.7498 406.59293 324.53943 592.97614 0 0.11060398 282.7558 281.83914 338.05878 589.2986 0 0.10768009 332.60587 352.38586 1024.0 405.56287 1 0.9947069 281.3059 315.71307 1007.729 771.2282 1 0.9687593 786.30457 395.8758 1024.0 1024.0 1 0.9285819 663.02325 227.37837 1024.0 334.7156 1 0.7838694 425.9494 269.87396 644.606 329.33838 1 0.65654105 901.9992 228.38553 1016.2817 375.26108 1 0.35502815 870.5431 240.61395 913.0116 322.99316 1 0.33414176 671.556 227.86151 820.63135 325.48926 1 0.20809075 994.8099 298.9809 1021.44354 389.84668 1 0.20334342 90.1532 284.1417 378.37845 598.75037 1 0.20165193 926.6002 315.36554 1001.6361 371.19244 1 0.19356541 958.73914 236.47662 1021.1542 358.19617 1 0.16470812 932.2839 227.36111 983.1861 373.25974 1 0.14175193 998.377 253.77443 1023.73175 339.61194 1 0.107788116 906.2612 233.22969 970.53894 355.75812 1 0.100255944 878.66205 242.95103 914.8951 274.16495 5 0.12133151 0.0 234.87677 149.04974 468.55054 5 0.11103743 91.75553 285.9304 342.63992 602.9153 ,test/0002.jpg
0 0.17073376 0.0 8.065857 1024.0 922.2167 9 0.9980259 132.29959 268.02115 937.51733 821.96545 9 0.78245854 0.0 8.065857 1024.0 922.2167 9 0.21964903 16.736053 631.4205 1011.84973 1021.3924 9 0.1844144 2.0051575 225.67798 550.72107 999.8718 9 0.1333187 0.0 0.0 1024.0 402.14868 ,test/0003.jpg
0 0.37281838 417.12878 403.50287 669.261 566.3729 1 0.99666107 204.63022 269.85938 871.5398 773.7772 5 0.19642694 440.39294 406.36566 666.1544 555.7067 9 0.12694754 418.82568 347.5324 664.5519 575.78644 ,test/0004.jpg
0 0.15191017 423.98636 676.75397 462.06186 708.0722 2 0.99997234 354.8624 231.77057 770.12866 707.5356 ,test/0005.jpg
0 0.3101133 895.79535 788.70825 1024.0 914.19946 0 0.14413849 24.319147 469.85455 80.1612 521.1781 0 0.12560536 601.53406 0.0 703.162 84.45531 3 0.75498337 3.3024292 67.68508 68.11007 220.89853 3 0.30034664 192.95134 654.84265 313.04883 870.09827 4 0.9276227 353.3009 444.70215 839.2706 718.6831 4 0.9185554 422.2802 26.3555 667.38556 279.7624 5 0.8836528 63.8235 374.70944 223.1439 728.8606 5 0.36605152 353.00604 444.49402 839.3332 718.59814 5 0.22582495 421.72412 22.742119 682.40894 274.99002 6 0.92999107 602.376 0.0 702.85 84.48607 6 0.13764031 662.1015 0.84352493 699.9289 81.136215 6 0.122794576 0.06698227 809.6037 90.98781 937.7718 7 0.8695352 279.1019 15.328506 416.64572 169.9965 7 0.5288823 192.92107 655.485 314.32553 869.4542 7 0.17618431 3.071148 61.981995 69.97304 220.72073 ,test/0006.jpg
0 0.51356405 5.2317734 543.04376 252.79303 1012.2076 0 0.41186565 781.2156 85.45381 874.52026 190.9327 0 0.22134928 245.37274 88.81055 931.75653 806.16003 1 0.91157526 356.41928 894.0961 618.2129 1024.0 1 0.8923815 123.780914 92.86063 933.4309 893.10864 1 0.5944701 175.47043 484.8498 932.6094 901.6517 1 0.5898974 213.93332 892.56836 377.6691 1023.74854 1 0.4137675 779.3659 85.738754 874.87494 191.05064 1 0.3276581 877.6441 893.20465 1015.6645 1024.0 1 0.17368625 0.0 546.9189 500.70563 1016.2546 1 0.15490958 465.1753 920.531 603.29724 1013.84424 1 0.15416196 175.3121 880.6805 683.18384 1018.9626 1 0.1505613 430.50302 957.646 606.19073 1023.7616 1 0.13030508 161.84386 943.22595 624.8576 1023.5183 5 0.14652303 268.10712 96.66708 880.6473 751.1428 7 0.12165471 318.10574 100.83075 905.6671 725.75085 9 0.8274187 533.9323 482.9793 911.42096 740.6788 9 0.6596913 357.96216 114.84598 818.1753 727.48694 9 0.5377929 623.1854 111.65831 876.4508 546.8124 9 0.4900528 709.18805 203.9425 1003.3117 573.0992 9 0.33958024 439.7159 398.24036 810.70166 728.9729 9 0.33387804 335.63092 184.43004 602.8223 648.9672 ,test/0007.jpg
0 0.38609698 106.74045 906.56915 170.69547 971.88116 1 0.7236968 106.79464 906.93677 170.52121 971.968 1 0.33596942 362.01608 497.2505 460.8049 603.1553 1 0.16622122 643.3289 636.971 722.01495 774.5467 1 0.16146259 150.65573 554.5027 212.9844 662.08887 2 0.10840004 237.68785 492.88037 281.9893 548.54407 3 0.103761636 604.471 346.03406 739.7773 470.36005 5 0.1569251 695.10986 533.60736 793.3428 695.8836 5 0.14653824 537.88086 430.07428 718.66125 612.1115 6 0.9903537 772.12775 279.16278 982.436 615.7956 6 0.31842664 360.4797 497.70398 447.59335 589.79724 6 0.20543614 665.36725 449.85028 797.79095 531.2462 6 0.20060502 670.4375 444.08206 813.489 608.25745 7 0.999795 153.76807 516.89905 458.3642 962.1343 7 0.9991837 1.227211 617.5549 178.93405 878.24677 7 0.9990263 0.90830994 358.90906 272.20276 637.18665 7 0.996345 398.99774 446.2334 712.5373 885.95593 7 0.9107577 689.37476 533.94366 792.01074 697.8338 7 0.43235803 672.27954 444.54663 807.7567 703.4536 7 0.38193163 534.3561 425.07678 727.1085 669.41895 7 0.23822199 358.96005 496.21533 470.06784 654.6803 7 0.17677651 220.70406 496.6052 334.0751 564.72925 7 0.13362896 344.45282 119.310585 428.0645 231.41031 7 0.121816136 414.06583 503.43835 465.82138 604.5665 7 0.1105073 228.16885 492.93243 287.98776 556.44244 7 0.10697993 583.35394 437.15472 825.13495 615.55634 ,test/0008.jpg
0 0.99941874 293.69556 116.62695 662.1807 973.54285 ,test/0009.jpg
