PredictionString,image_id
0 0.19466154277324677 641.192626953125 257.0523986816406 732.534912109375 346.7561340332031 1 0.9897258877754211 570.287109375 104.9844970703125 755.2230224609375 363.64227294921875 1 0.3240087032318115 621.271484375 169.4548797607422 736.4356689453125 346.12176513671875 1 0.13409169018268585 640.6632690429688 257.7145690917969 732.7361450195312 346.7530822753906 3 0.1686669886112213 485.27239990234375 597.482421875 579.7400512695312 658.99462890625 5 0.9763562679290771 244.2725372314453 679.7404174804688 300.6951599121094 750.5758666992188 5 0.7630627751350403 382.14373779296875 681.2841796875 430.8399658203125 726.0689697265625 5 0.6570152044296265 340.269287109375 675.0991821289062 438.57745361328125 728.9613647460938 5 0.5607507228851318 338.4720458984375 662.1555786132812 464.81353759765625 746.2949829101562 5 0.41755911707878113 403.8620300292969 614.152587890625 449.8855895996094 693.1988525390625 5 0.3730412423610687 337.5686950683594 629.8081665039062 433.8814392089844 733.9567260742188 5 0.22567948698997498 343.56591796875 642.5073852539062 395.7071533203125 728.7597045898438 5 0.22149747610092163 453.8209228515625 786.4938354492188 488.508544921875 864.8046264648438 5 0.21890278160572052 491.8713073730469 601.056884765625 597.3653564453125 651.4591064453125 5 0.20888249576091766 389.1964111328125 601.6874389648438 460.97967529296875 735.6184692382812 5 0.20277166366577148 330.7467346191406 563.23779296875 461.9397888183594 742.480224609375 5 0.19208578765392303 329.1806335449219 639.8024291992188 398.7564392089844 694.0592651367188 5 0.18429340422153473 435.02813720703125 451.67510986328125 571.0489501953125 687.2418823242188 5 0.1697925180196762 396.0926513671875 670.73876953125 466.116455078125 742.0623779296875 5 0.15660016238689423 473.5408020019531 593.6842651367188 586.5652465820312 678.9692993164062 5 0.15271057188510895 539.199951171875 605.4942626953125 598.6575927734375 648.48046875 5 0.1389869600534439 467.3116149902344 637.808837890625 559.9461059570312 686.17724609375 5 0.130494624376297 415.42449951171875 609.6109008789062 466.41912841796875 704.8528442382812 5 0.10505351424217224 415.7657470703125 544.7283325195312 482.53228759765625 695.6066284179688 5 0.10134657472372055 481.15240478515625 570.58642578125 565.3692016601562 661.8857421875 6 0.38838398456573486 433.9695129394531 454.392333984375 563.7625732421875 671.4935302734375 6 0.2023472934961319 456.5255126953125 462.327880859375 562.49658203125 590.555419921875 6 0.1341937631368637 431.3700866699219 538.7822875976562 487.3414611816406 670.0309448242188 7 0.9999392032623291 118.57194519042969 418.1201171875 332.56414794921875 714.7796630859375 7 0.9998999834060669 220.43405151367188 52.42381286621094 459.6161804199219 479.16973876953125 7 0.9998482465744019 602.5759887695312 525.5636596679688 953.2230834960938 1024.0 7 0.9979561567306519 651.0225830078125 328.41973876953125 882.972900390625 620.2785034179688 7 0.9959626793861389 389.941650390625 189.2361602783203 598.3974609375 538.6416015625 7 0.9915798902511597 552.46923828125 337.5723571777344 711.11181640625 610.4210205078125 7 0.9915026426315308 453.0482177734375 593.6893920898438 640.205322265625 869.2471313476562 7 0.9261703491210938 268.4772033691406 447.09423828125 410.4646911621094 587.56494140625 7 0.4747767746448517 535.877685546875 183.2736053466797 576.6268310546875 251.9330596923828 7 0.26844078302383423 510.83050537109375 187.75888061523438 574.6404418945312 239.32177734375 7 0.2661316990852356 336.3030090332031 638.230224609375 398.4151306152344 725.654541015625 7 0.22588372230529785 332.7545166015625 546.7067260742188 442.88330078125 736.5996704101562 7 0.20811669528484344 497.1339111328125 641.6331176757812 553.951904296875 748.3046264648438 7 0.19795937836170197 323.678466796875 569.6024780273438 391.3486328125 622.8204956054688 7 0.18039773404598236 321.91876220703125 523.394775390625 441.8365478515625 625.8828125 7 0.16806238889694214 399.7462158203125 612.821044921875 452.30072021484375 690.88671875 7 0.12669800221920013 330.8681640625 587.827880859375 437.21466064453125 653.27197265625 7 0.10164041072130203 323.9053039550781 562.0321044921875 434.5853576660156 612.2998046875 ,test/0000.jpg
5 0.9990214109420776 346.89215087890625 241.94728088378906 753.1466674804688 690.8784790039062 5 0.3894236385822296 640.3281860351562 642.6613159179688 686.4132690429688 837.6065063476562 5 0.17557410895824432 135.0384979248047 0.0 499.63848876953125 283.37750244140625 6 0.10317803174257278 759.2628173828125 648.0635375976562 896.7178955078125 989.4982299804688 7 0.6984667778015137 132.51565551757812 0.0 505.1488342285156 286.55706787109375 ,test/0001.jpg
0 0.763257622718811 816.8040161132812 795.718994140625 874.2426147460938 916.9405517578125 0 0.7205091118812561 345.9378967285156 331.23980712890625 1014.287353515625 419.1561279296875 0 0.5846705436706543 661.3756103515625 282.9559020996094 720.1986083984375 322.4238586425781 0 0.5696772933006287 106.58827209472656 274.819091796875 426.3582763671875 398.72064208984375 0 0.5682986974716187 124.8350830078125 293.5392150878906 313.5766906738281 597.017822265625 0 0.5085163116455078 369.3999938964844 330.6092529296875 1012.109375 506.203857421875 0 0.31802085041999817 255.77960205078125 279.8311767578125 304.9925537109375 422.21978759765625 0 0.3080308735370636 233.234375 276.1058349609375 328.79248046875 430.02294921875 0 0.2982634902000427 871.6184692382812 465.1107177734375 1020.3912963867188 631.4119873046875 0 0.24976512789726257 344.7834167480469 314.7705383300781 976.967041015625 369.4979553222656 0 0.22543245553970337 460.91754150390625 333.59356689453125 977.0609741210938 380.4442138671875 0 0.16918238997459412 777.2083129882812 442.3984069824219 1021.5714721679688 1024.0 0 0.16585785150527954 83.78364562988281 270.8543395996094 416.79400634765625 524.9527587890625 0 0.1529727727174759 316.5040283203125 328.18072509765625 1008.564453125 674.0670776367188 0 0.11798468977212906 4.5376739501953125 215.30604553222656 209.46597290039062 476.82415771484375 0 0.11434904485940933 273.7501220703125 280.5438232421875 314.84967041015625 448.947509765625 1 0.9993888139724731 295.6277770996094 303.7760009765625 1015.677001953125 748.3763427734375 1 0.9930290579795837 774.526123046875 431.3612976074219 1024.0 1024.0 1 0.9538733959197998 420.4496765136719 267.2882385253906 641.56640625 329.0265808105469 1 0.9082373976707458 94.97675323486328 283.40252685546875 345.999267578125 597.1055908203125 1 0.6359477043151855 671.218017578125 228.16943359375 954.8524169921875 323.1337890625 1 0.4748016893863678 993.525634765625 299.02886962890625 1023.263916015625 400.36590576171875 1 0.2936362624168396 969.191162109375 311.7452087402344 1019.1610107421875 395.6679382324219 1 0.15854336321353912 776.36474609375 233.77325439453125 917.177978515625 326.4168701171875 1 0.13997997343540192 679.2872314453125 231.64422607421875 767.8775634765625 318.589111328125 4 0.6578636765480042 867.2172241210938 250.60122680664062 912.3799438476562 323.9827575683594 5 0.13232068717479706 680.137939453125 231.8916015625 766.2760009765625 318.2972412109375 ,test/0002.jpg
9 0.9978318810462952 148.95816040039062 265.4423828125 909.095458984375 821.3370361328125 9 0.9379605650901794 10.615631103515625 0.0 1023.132080078125 799.698486328125 ,test/0003.jpg
1 0.9996781349182129 192.87582397460938 247.596435546875 870.3109130859375 772.3612670898438 1 0.47397634387016296 415.246337890625 406.85333251953125 663.6927490234375 569.271484375 1 0.1772807091474533 250.1542510986328 251.86953735351562 658.387451171875 644.572265625 5 0.13160011172294617 416.9206237792969 406.19195556640625 660.233642578125 565.0601196289062 7 0.8270292282104492 415.47991943359375 406.5455017089844 664.0670776367188 565.0029296875 ,test/0004.jpg
2 0.9999046325683594 351.0461120605469 226.81362915039062 769.066650390625 709.84912109375 ,test/0005.jpg
0 0.993259608745575 897.3521728515625 785.8923950195312 1024.0 914.8938598632812 0 0.8391510844230652 0.07217788696289062 810.628662109375 88.83872985839844 941.8240966796875 0 0.6535829901695251 191.35865783691406 545.6220092773438 277.87457275390625 701.3895874023438 4 0.9899761080741882 419.3404235839844 12.061569213867188 655.4268798828125 279.37042236328125 4 0.9309964179992676 355.54876708984375 453.40020751953125 841.1095581054688 723.6455688476562 5 0.403140664100647 352.7210998535156 450.8849182128906 838.8612060546875 724.2357177734375 7 0.9970197081565857 271.0425109863281 7.4742584228515625 414.4674377441406 176.3865203857422 9 0.48570775985717773 0.45384979248046875 810.5477294921875 89.4932861328125 940.0587158203125 9 0.11130538582801819 2.671116828918457 815.6134643554688 24.054885864257812 928.7117309570312 ,test/0006.jpg
0 0.9609786868095398 321.5533142089844 93.23641967773438 882.9700927734375 759.5262451171875 0 0.7613162994384766 672.0006103515625 92.51744079589844 993.0845947265625 597.5482177734375 0 0.4700060486793518 99.2760009765625 73.75009155273438 951.1971435546875 960.1129150390625 0 0.43766140937805176 0.0 603.917236328125 608.122314453125 1024.0 0 0.3049103915691376 482.04888916015625 483.59478759765625 895.5048217773438 740.2949829101562 0 0.10880089551210403 772.6494750976562 92.82844543457031 866.1697387695312 179.9076690673828 1 0.9988844990730286 885.5874633789062 892.8909301757812 1020.0968627929688 1024.0 1 0.9069653749465942 216.54747009277344 892.0458984375 621.3543701171875 1022.6729736328125 1 0.5885396599769592 122.14889526367188 79.83453369140625 930.03076171875 940.245361328125 7 0.17543362081050873 703.1476440429688 137.9848175048828 994.0686645507812 593.7003784179688 7 0.10647273063659668 485.2124328613281 483.10589599609375 893.6881103515625 739.5358276367188 ,test/0007.jpg
0 0.9104171991348267 106.18180847167969 904.567626953125 170.50172424316406 971.9720458984375 1 0.5487388968467712 153.3336944580078 549.0814208984375 224.59657287597656 666.24658203125 1 0.23567871749401093 652.2973022460938 639.55908203125 718.6104125976562 766.5882568359375 1 0.20102567970752716 361.39349365234375 507.8884582519531 464.47674560546875 604.183837890625 6 0.9958840012550354 773.5005493164062 278.82830810546875 972.8392944335938 617.02783203125 7 0.9998492002487183 397.94097900390625 457.93017578125 697.3927612304688 871.11376953125 7 0.9996994733810425 161.79898071289062 504.10894775390625 463.9891662597656 959.9465942382812 7 0.9994852542877197 3.1458892822265625 617.39599609375 179.17010498046875 871.8634033203125 7 0.9991501569747925 4.342193603515625 360.5986328125 278.49383544921875 684.265869140625 7 0.9966378211975098 538.9818725585938 425.7106628417969 709.3956909179688 600.651611328125 7 0.987522304058075 676.8504638671875 509.3737487792969 799.360595703125 696.1525268554688 7 0.9846259951591492 0.0 527.580322265625 47.65683364868164 688.2928466796875 7 0.8625929951667786 355.57794189453125 499.8063659667969 469.47216796875 690.646484375 7 0.1452212780714035 152.11373901367188 486.877685546875 309.8324279785156 676.4478759765625 7 0.1447468250989914 360.9264221191406 505.9030456542969 465.6366271972656 606.5271606445312 7 0.11533961445093155 406.62548828125 500.65545654296875 478.80621337890625 602.9829711914062 ,test/0008.jpg
0 0.9998832941055298 295.0911865234375 116.36257934570312 664.3956298828125 965.3154296875 ,test/0009.jpg
