PredictionString,image_id
1 0.9993115663528442 562.8435668945312 103.11990356445312 761.9313354492188 363.43731689453125 1 0.6988279223442078 637.950927734375 257.7397766113281 733.4412841796875 344.8318176269531 1 0.470333069562912 644.0179443359375 185.00852966308594 693.965087890625 244.4860382080078 1 0.3455844223499298 643.7762451171875 181.547119140625 714.2027587890625 266.24591064453125 1 0.26792052388191223 618.3829956054688 155.63302612304688 735.2399291992188 342.1594543457031 1 0.23381407558918 479.10089111328125 588.2119140625 559.4270629882812 670.1883544921875 1 0.2124408632516861 436.4853210449219 464.73095703125 568.1437377929688 684.8314208984375 2 0.32044464349746704 640.3580322265625 257.60626220703125 729.736083984375 341.8707275390625 5 0.9284114837646484 240.96910095214844 678.3680419921875 299.6884460449219 749.4173583984375 5 0.5207577347755432 332.75628662109375 633.5701293945312 399.8780517578125 719.8583374023438 5 0.36439433693885803 334.7526550292969 602.871337890625 444.7950134277344 725.175048828125 5 0.355895072221756 393.8900146484375 612.58154296875 449.3046875 717.836669921875 5 0.24406681954860687 416.7721252441406 614.2728271484375 451.8351135253906 705.40966796875 5 0.1479923576116562 370.7552795410156 563.8028564453125 440.5819396972656 614.234619140625 5 0.13393184542655945 386.9974365234375 591.2905883789062 470.755615234375 730.9733276367188 5 0.10855187475681305 344.9466552734375 598.8611450195312 418.519287109375 649.4351196289062 7 0.9998847246170044 603.336669921875 521.333984375 953.31591796875 1023.9830322265625 7 0.99985671043396 116.97477722167969 428.269775390625 331.67633056640625 718.95263671875 7 0.9998518228530884 214.89471435546875 50.448760986328125 457.81524658203125 472.1117858886719 7 0.9998262524604797 390.7767333984375 196.41107177734375 596.5111694335938 536.6943359375 7 0.9996343851089478 451.3030700683594 599.2613525390625 653.7174072265625 872.99951171875 7 0.9991593360900879 642.130615234375 326.01318359375 874.179443359375 627.6509399414062 7 0.998586893081665 548.8892822265625 343.813720703125 709.34912109375 609.0178833007812 7 0.9740307331085205 258.22607421875 427.63006591796875 425.5556640625 625.3464965820312 7 0.4632200300693512 332.0709228515625 577.40966796875 450.17950439453125 733.25048828125 7 0.4144859313964844 526.5187377929688 177.36573791503906 583.1929321289062 278.6249084472656 7 0.2748356759548187 321.43572998046875 566.560302734375 448.49810791015625 630.219482421875 7 0.17682237923145294 466.4129333496094 582.2520141601562 571.2960205078125 683.6166381835938 7 0.167166069149971 262.44915771484375 439.03753662109375 395.14349365234375 486.1422119140625 7 0.15166667103767395 325.78179931640625 576.373046875 395.48443603515625 625.3486328125 7 0.11264609545469284 526.8546142578125 146.62889099121094 589.9307861328125 335.0283203125 7 0.11031371355056763 152.71482849121094 425.6756286621094 206.03858947753906 457.7253723144531 7 0.10900110006332397 233.80404663085938 675.2139892578125 298.9118957519531 749.3790283203125 ,test/0000.jpg
4 0.9911348819732666 346.0240478515625 250.92161560058594 757.5633544921875 691.0302124023438 5 0.9980841875076294 127.31295776367188 0.0 503.3466491699219 304.0980224609375 5 0.1592734456062317 345.39697265625 252.6459197998047 754.85595703125 688.2777709960938 6 0.8687716722488403 757.24365234375 656.1795043945312 896.5162353515625 998.2636108398438 ,test/0001.jpg
0 0.9497782588005066 873.0137939453125 464.257080078125 1023.91650390625 627.33642578125 0 0.6279188394546509 81.34275817871094 279.2510986328125 352.224609375 603.3560180664062 0 0.541341245174408 879.5997314453125 245.78985595703125 911.817138671875 272.2626953125 0 0.5277273654937744 132.25914001464844 278.96551513671875 416.4007568359375 457.8719482421875 0 0.5158116221427917 356.64068603515625 312.7371520996094 1015.4850463867188 398.4674987792969 0 0.244179829955101 852.8406982421875 300.58428955078125 1021.0601806640625 635.9044189453125 0 0.22332005202770233 777.7591552734375 233.07106018066406 1018.71240234375 567.0414428710938 0 0.21136100590229034 617.935546875 277.9615478515625 1024.0 490.6705322265625 0 0.1609758883714676 678.8797607421875 229.52627563476562 804.2178955078125 320.8747253417969 0 0.14236010611057281 364.7326965332031 343.57476806640625 702.190185546875 367.9395751953125 0 0.11581331491470337 336.3748779296875 322.98895263671875 1010.5135498046875 494.24481201171875 1 0.9986177682876587 288.7483215332031 306.408935546875 1021.933349609375 747.4212646484375 1 0.9533222913742065 773.3642578125 402.6867980957031 1023.0284423828125 1024.0 1 0.9312687516212463 421.1697998046875 267.2375793457031 640.269775390625 328.6940612792969 1 0.9144979119300842 669.5010986328125 227.384521484375 928.253173828125 324.52294921875 1 0.7857648134231567 68.31492614746094 270.197998046875 420.878173828125 604.6227416992188 1 0.30376628041267395 962.9596557617188 232.37692260742188 1023.5499877929688 410.9169616699219 1 0.24914264678955078 0.0 235.41671752929688 154.60662841796875 468.0638122558594 1 0.21456784009933472 676.6015625 228.8661651611328 812.5328369140625 320.482666015625 1 0.11693569272756577 646.32421875 230.81478881835938 1024.0 358.9234924316406 2 0.12034939974546432 676.9024658203125 229.15261840820312 816.21337890625 321.4812927246094 3 0.2517654001712799 0.0 237.05307006835938 153.6488494873047 469.8092346191406 4 0.676342248916626 864.2157592773438 247.989013671875 913.3641967773438 325.61956787109375 4 0.5266695618629456 994.3009643554688 296.7840881347656 1023.9959106445312 395.4494323730469 ,test/0002.jpg
9 0.9997289776802063 139.08792114257812 262.8220520019531 921.2445068359375 820.291015625 9 0.6961146593093872 22.8883056640625 34.359222412109375 959.6942138671875 990.0909423828125 9 0.5713666081428528 20.29901123046875 0.0 999.7787475585938 461.94403076171875 9 0.48627832531929016 51.910125732421875 691.4779663085938 966.8455810546875 1022.9977416992188 ,test/0003.jpg
0 0.7357648015022278 444.83184814453125 407.0584716796875 654.8402709960938 560.0972290039062 0 0.1235281303524971 409.133056640625 319.60546875 657.3270263671875 583.5409545898438 1 0.9973771572113037 193.04159545898438 264.9006042480469 861.73046875 778.187744140625 ,test/0004.jpg
2 0.9996613264083862 354.1806945800781 229.25228881835938 767.4197998046875 712.6202392578125 ,test/0005.jpg
0 0.9949264526367188 600.7210083007812 0.6853179931640625 699.5105590820312 83.135009765625 0 0.9791632294654846 897.87890625 785.72998046875 1024.0 916.7471923828125 0 0.9206788539886475 0.0 808.2962036132812 95.9901123046875 941.6682739257812 0 0.2406749576330185 193.36656188964844 552.0802612304688 302.40704345703125 877.0781860351562 0 0.16073985397815704 207.18756103515625 544.843017578125 281.7999267578125 709.1705322265625 1 0.48390236496925354 199.2172088623047 544.6982421875 282.6673583984375 709.1182861328125 3 0.8563870191574097 0.3667259216308594 64.86540222167969 69.93289184570312 219.85572814941406 4 0.9994519352912903 421.88909912109375 12.387405395507812 658.9105834960938 271.48321533203125 4 0.9907025098800659 358.7652282714844 457.22955322265625 841.224609375 717.1655883789062 5 0.9606392979621887 67.44042205810547 371.50238037109375 227.93109130859375 743.6383666992188 5 0.17138764262199402 0.0 64.52660369873047 70.51380920410156 219.3941650390625 7 0.9938386082649231 272.4737243652344 12.712684631347656 422.8465881347656 170.66265869140625 ,test/0006.jpg
0 0.892302393913269 0.0 469.1919250488281 286.33990478515625 1014.540283203125 0 0.617877721786499 14.449951171875 768.4113159179688 919.5534057617188 1024.0 0 0.4093679189682007 87.15206909179688 50.409393310546875 996.7491455078125 964.3214111328125 0 0.1495598554611206 237.1383056640625 0.0 985.1068115234375 294.30322265625 1 0.8600710034370422 120.57598876953125 85.45889282226562 975.8939819335938 896.02490234375 1 0.6970680356025696 356.2680969238281 889.4751586914062 560.1494140625 1024.0 1 0.606948733329773 886.6939697265625 892.557373046875 1013.6131591796875 1021.511474609375 1 0.26511767506599426 197.2743377685547 888.6942138671875 611.1421508789062 1024.0 9 0.7692450881004333 188.66790771484375 100.37948608398438 937.7045288085938 750.890869140625 ,test/0007.jpg
0 0.53043133020401 107.24113464355469 906.8826904296875 170.3154754638672 971.4140625 1 0.6177058219909668 107.53099822998047 907.4978637695312 169.96542358398438 971.4210815429688 1 0.394700825214386 149.3612060546875 560.0150146484375 204.7786865234375 661.7091064453125 6 0.9970337152481079 769.8660888671875 280.4169921875 973.873046875 617.6812744140625 6 0.2083982676267624 664.4296875 450.7522888183594 820.6527099609375 621.768798828125 6 0.17507462203502655 571.7459716796875 433.6391906738281 816.7490234375 531.5233154296875 7 0.9999247789382935 156.57501220703125 527.122802734375 463.65875244140625 963.9908447265625 7 0.999815046787262 2.9629898071289062 616.5430297851562 182.04534912109375 880.0049438476562 7 0.9996306896209717 3.0269622802734375 362.84002685546875 274.123779296875 637.77685546875 7 0.9995195865631104 402.52325439453125 464.53033447265625 681.3126831054688 877.3560180664062 7 0.9940014481544495 679.8736572265625 519.389404296875 794.746337890625 696.660400390625 7 0.99134761095047 360.2065734863281 495.91632080078125 464.2354431152344 701.3909301757812 7 0.9904138445854187 534.6055297851562 427.8205871582031 737.7776489257812 616.3978271484375 7 0.9184215664863586 227.41375732421875 492.9056701660156 330.40399169921875 559.7432861328125 7 0.17205244302749634 230.41448974609375 491.44720458984375 296.6298828125 539.4472045898438 ,test/0008.jpg
0 0.9997944235801697 293.7821044921875 114.61904907226562 658.4286499023438 977.5567626953125 ,test/0009.jpg
